iter	Passed	Remaining
0	131	131178
1	133	66863
2	136	45303
3	138	34504
4	142	28284
5	144	23943
6	146	20850
7	149	18573
8	155	17113
9	160	15864
10	163	14688
11	170	14028
12	173	13144
13	175	12385
14	180	11830
15	183	11267
16	186	10774
17	190	10405
18	198	10267
19	201	9887
20	204	9551
21	208	9265
22	210	8949
23	213	8679
24	215	8389
25	220	8244
26	221	7983
27	222	7740
28	225	7537
29	228	7392
30	229	7186
31	231	6989
32	232	6802
33	233	6626
34	234	6461
35	235	6303
36	236	6149
37	237	6006
38	238	5868
39	239	5751
40	240	5629
41	241	5510
42	242	5407
43	243	5297
44	244	5194
45	245	5094
46	246	4996
47	247	4902
48	247	4812
49	248	4725
50	250	4653
51	250	4574
52	251	4499
53	253	4434
54	254	4379
55	256	4328
56	257	4262
57	258	4197
58	259	4137
59	260	4084
60	262	4033
61	262	3978
62	265	3956
63	267	3917
64	269	3872
65	270	3829
66	272	3788
67	273	3747
68	276	3726
69	277	3693
70	278	3649
71	280	3609
72	281	3572
73	285	3573
74	287	3542
75	289	3516
76	290	3483
77	292	3462
78	294	3435
79	296	3409
80	297	3378
81	299	3348
82	300	3317
83	302	3301
84	303	3268
85	304	3238
86	306	3221
87	308	3194
88	309	3171
89	311	3146
90	313	3130
91	315	3112
92	316	3086
93	317	3064
94	319	3044
95	321	3026
96	322	3006
97	324	2985
98	326	2967
99	327	2948
100	328	2928
101	330	2908
102	332	2895
103	333	2876
104	335	2860
105	336	2839
106	338	2825
107	339	2807
108	342	2796
109	343	2780
110	345	2763
111	346	2745
112	347	2728
113	348	2710
114	350	2695
115	351	2679
116	353	2667
117	354	2651
118	356	2639
119	357	2623
120	359	2608
121	361	2598
122	363	2591
123	364	2578
124	366	2567
125	368	2557
126	369	2542
127	370	2526
128	372	2514
129	374	2508
130	376	2498
131	378	2488
132	379	2475
133	380	2461
134	382	2449
135	384	2441
136	385	2430
137	387	2422
138	389	2410
139	390	2398
140	391	2387
141	394	2386
142	395	2373
143	397	2362
144	399	2356
145	401	2349
146	403	2339
147	407	2344
148	408	2333
149	411	2330
150	412	2319
151	413	2309
152	415	2301
153	417	2292
154	418	2282
155	420	2273
156	421	2262
157	424	2260
158	427	2262
159	429	2255
160	431	2248
161	433	2243
162	435	2234
163	437	2229
164	439	2222
165	440	2212
166	442	2208
167	445	2206
168	447	2199
169	448	2191
170	452	2193
171	456	2197
172	458	2190
173	459	2181
174	461	2176
175	464	2174
176	468	2176
177	471	2178
178	473	2172
179	476	2170
180	478	2163
181	479	2156
182	481	2151
183	483	2144
184	485	2139
185	487	2135
186	489	2128
187	490	2120
188	493	2116
189	495	2111
190	496	2103
191	499	2103
192	501	2096
193	503	2091
194	506	2091
195	508	2086
196	509	2078
197	512	2075
198	516	2077
199	517	2071
200	520	2067
201	522	2063
202	524	2058
203	525	2050
204	527	2045
205	529	2040
206	530	2034
207	536	2041
208	538	2036
209	539	2031
210	541	2024
211	543	2019
212	547	2022
213	548	2016
214	551	2012
215	552	2005
216	557	2011
217	559	2007
218	561	2001
219	563	1998
220	565	1994
221	567	1989
222	569	1983
223	571	1979
224	573	1977
225	575	1971
226	577	1965
227	579	1961
228	581	1958
229	584	1957
230	586	1952
231	588	1947
232	590	1944
233	592	1938
234	594	1935
235	597	1933
236	598	1927
237	600	1921
238	602	1917
239	604	1915
240	607	1912
241	609	1907
242	612	1907
243	613	1902
244	616	1900
245	619	1897
246	621	1893
247	623	1889
248	625	1886
249	627	1881
250	629	1877
251	630	1872
252	633	1870
253	638	1876
254	640	1871
255	641	1864
256	643	1860
257	646	1858
258	651	1862
259	652	1857
260	654	1851
261	655	1847
262	657	1841
263	658	1836
264	662	1836
265	663	1831
266	667	1831
267	668	1826
268	671	1823
269	689	1864
270	691	1860
271	693	1855
272	695	1851
273	696	1845
274	698	1842
275	703	1844
276	704	1838
277	705	1832
278	707	1829
279	710	1826
280	711	1821
281	714	1818
282	716	1814
283	717	1809
284	719	1805
285	721	1801
286	725	1801
287	727	1799
288	729	1795
289	731	1791
290	733	1786
291	734	1780
292	736	1776
293	739	1776
294	742	1774
295	744	1771
296	747	1769
297	749	1765
298	750	1760
299	752	1756
300	755	1753
301	756	1749
302	759	1746
303	762	1746
304	766	1747
305	768	1743
306	784	1770
307	791	1778
308	794	1775
309	803	1789
310	807	1788
311	809	1785
312	819	1799
313	822	1796
314	823	1791
315	826	1788
316	829	1786
317	831	1783
318	834	1781
319	836	1778
320	839	1775
321	841	1771
322	843	1767
323	844	1762
324	847	1760
325	850	1759
326	852	1754
327	854	1750
328	858	1749
329	860	1747
330	862	1742
331	866	1744
332	870	1742
333	872	1739
334	873	1734
335	876	1731
336	880	1732
337	883	1730
338	886	1729
339	888	1724
340	890	1719
341	894	1720
342	896	1716
343	912	1740
344	916	1740
345	918	1736
346	921	1734
347	925	1733
348	927	1729
349	928	1724
350	950	1757
351	952	1752
352	954	1749
353	957	1746
354	959	1743
355	961	1739
356	965	1739
357	967	1735
358	968	1730
359	970	1725
360	973	1723
361	974	1718
362	976	1713
363	977	1707
364	978	1703
365	981	1700
366	983	1695
367	985	1692
368	987	1688
369	989	1684
370	990	1679
371	993	1676
372	995	1673
373	997	1669
374	999	1666
375	1003	1664
376	1004	1659
